Stage;Date;Distance;Type;Mark;Winner;Winner_Country
21;1996;147.5;Plain stage;F;Fabio Baldato;ITA
P;1995;7.3;Individual time trial;ITT;Jacky Durand;FRA
1;1995;233.5;Plain stage;F;Fabio Baldato;ITA
2;1995;235.5;Plain stage;F;Mario Cipollini;ITA
3;1995;67;Team time trial;TTT;Gewiss–Ballan;
4;1995;162;Plain stage;F;Mario Cipollini;ITA
5;1995;261;Plain stage;F;Jeroen Blijlevens;NED
6;1995;202;Plain stage;F;Erik Zabel;GER
7;1995;203;Hilly stage;H;Johan Bruyneel;BEL
8;1995;54;Individual time trial;ITT;Miguel Indurain;ESP
9;1995;160;Stage with mountain(s);M;Alex Zülle;SUI
10;1995;162.5;Stage with mountain(s);M;Marco Pantani;ITA
11;1995;199;Hilly stage;H;Maximilian Sciandri;GBR
12;1995;222.5;Hilly stage;H;Laurent Jalabert;FRA
13;1995;245;Plain stage;F;Serhiy Utchakov;UKR
14;1995;164;Stage with mountain(s);M;Marco Pantani;ITA
15;1995;206;Stage with mountain(s);M;Richard Virenque;FRA
16;1995;149;Stage with mountain(s);M;Cancelled;
17;1995;246;Plain stage;F;Erik Zabel;GER
18;1995;166.5;Plain stage;F;Lance Armstrong;USA
19;1995;46.5;Individual time trial;ITT;Miguel Indurain;ESP
20;1995;155;Plain stage;F;Djamolidine Abdoujaparov;UZB
P;1994;7.2;Individual time trial;ITT;Chris Boardman;GBR
1;1994;234;Plain stage;F;Djamolidine Abdoujaparov;UZB
2;1994;203.5;Plain stage;F;Jean-Paul van Poppel;NED
3;1994;66.5;Team time trial;TTT;GB–MG Maglificio;
4;1994;204.5;Plain stage;F;Francisco Cabello;ESP
5;1994;187;Plain stage;F;Nicola Minali;ITA
6;1994;270.5;Plain stage;F;Gianluca Bortolami;ITA
7;1994;259.5;Plain stage;F;Ján Svorada;SVK
8;1994;218.5;Plain stage;F;Bo Hamburger;DEN
9;1994;64;Individual time trial;ITT;Miguel Indurain;ESP
10;1994;160.5;Plain stage;F;Jacky Durand;FRA
11;1994;263.5;Stage with mountain(s);M;Luc Leblanc;FRA
12;1994;204.5;Stage with mountain(s);M;Richard Virenque;FRA
13;1994;223;Plain stage;F;Bjarne Riis;DEN
14;1994;202;Plain stage;F;Rolf Sørensen;DEN
15;1994;231;Stage with mountain(s);M;Eros Poli;ITA
16;1994;224.5;Stage with mountain(s);M;Roberto Conti;ITA
17;1994;149;Stage with mountain(s);M;Nelson Rodriguez;COL
18;1994;174.5;Stage with mountain(s);M;Piotr Ugrumov;LAT
19;1994;47.5;Mountain time trial;MTT;Piotr Ugrumov;LAT
20;1994;208.5;Hilly stage;H;Djamolidine Abdoujaparov;UZB
21;1994;175;Plain stage;F;Eddy Seigneur;FRA
P;1993;6.8;Individual time trial;ITT;Miguel Indurain;ESP
1;1993;215;Plain stage;F;Mario Cipollini;ITA
2;1993;227.5;Plain stage;F;Wilfried Nelissen;BEL
3;1993;189.5;Plain stage;F;Djamolidine Abdoujaparov;UZB
4;1993;81;Team time trial;TTT;GB–MG Maglificio;
5;1993;225.5;Plain stage;F;Jesper Skibby;DEN
6;1993;158;Plain stage;F;Johan Bruyneel;BEL
7;1993;199;Plain stage;F;Bjarne Riis;DEN
8;1993;184.5;Plain stage;F;Lance Armstrong;USA
9;1993;59;Individual time trial;ITT;Miguel Indurain;ESP
10;1993;203;Stage with mountain(s);M;Toni Rominger;SUI
11;1993;179;Stage with mountain(s);M;Toni Rominger;SUI
12;1993;286.5;Plain stage;F;Fabio Roscioli;ITA
13;1993;181.5;Plain stage;F;Olaf Ludwig;GER
14;1993;223;Plain stage;F;Pascal Lino;FRA
15;1993;231.5;Stage with mountain(s);M;Oliverio Rincón;COL
16;1993;230;Stage with mountain(s);M;Zenon Jasku?a;POL
17;1993;190;Stage with mountain(s);M;Claudio Chiappucci;ITA
18;1993;199.5;Plain stage;F;Djamolidine Abdoujaparov;UZB
19;1993;48;Individual time trial;ITT;Toni Rominger;SUI
20;1993;196.5;Plain stage;F;Djamolidine Abdoujaparov;UZB
P;1992;8;Individual time trial;ITT;Miguel Indurain;ESP
1;1992;194.5;Hilly stage;H;Dominique Arnould;FRA
2;1992;255;Hilly stage;H;Javier Murguialday;ESP
3;1992;210;Plain stage;F;Rob Harmeling;NED
4;1992;63.5;Team time trial;TTT;Panasonic–Sportlife;
5;1992;196;Plain stage;F;Guido Bontempi;ITA
6;1992;167;Plain stage;F;Laurent Jalabert;FRA
7;1992;196.5;Plain stage;F;Gilles Delion;FRA
8;1992;206.5;Plain stage;F;Jan Nevens;BEL
9;1992;65;Individual time trial;ITT;Miguel Indurain;ESP
10;1992;217;Plain stage;F;Jean-Paul van Poppel;NED
11;1992;249.5;Hilly stage;H;Laurent Fignon;FRA
12;1992;267.5;Hilly stage;H;Rolf Järmann;SUI
13;1992;254.5;Stage with mountain(s);M;Claudio Chiappucci;ITA
14;1992;186.5;Stage with mountain(s);M;Andrew Hampsten;USA
15;1992;198;Hilly stage;H;Franco Chioccioli;ITA
16;1992;212;Hilly stage;H;Stephen Roche;IRE
17;1992;189;Plain stage;F;Jean-Claude Colotti;FRA
18;1992;212;Plain stage;F;Thierry Marie;FRA
19;1992;64;Individual time trial;ITT;Miguel Indurain;ESP
20;1992;222;Plain stage;F;Peter De Clercq;BEL
21;1992;141;Plain stage;F;Olaf Ludwig;GER
P;1991;5.4;Individual time trial;ITT;Thierry Marie;FRA
1;1991;114.5;Plain stage;F;Djamolidine Abdoujaparov;URS
2;1991;36.5;Team time trial;TTT;Ariostea;
3;1991;210.5;Plain stage;F;Etienne De Wilde;BEL
4;1991;286;Plain stage;F;Djamolidine Abdoujaparov;URS
5;1991;149.5;Plain stage;F;Jelle Nijdam;NED
6;1991;259;Plain stage;F;Thierry Marie;FRA
7;1991;167;Plain stage;F;Jean-Paul van Poppel;NED
8;1991;73;Individual time trial;ITT;Miguel Indurain;ESP
9;1991;161;Plain stage;F;Mauro Ribeiro;BRA
10;1991;207.5;Plain stage;F;Phil Anderson;AUS
11;1991;246;Plain stage;F;Charly Mottet;FRA
12;1991;192;Stage with mountain(s);M;Charly Mottet;FRA
13;1991;232;Stage with mountain(s);M;Claudio Chiappucci;ITA
14;1991;172.5;Plain stage;F;Bruno Cenghialta;ITA
15;1991;235;Hilly stage;H;Moreno Argentin;ITA
16;1991;215;Plain stage;F;Marco Lietti;ITA
17;1991;125;Stage with mountain(s);M;Gianni Bugno;ITA
18;1991;255;Stage with mountain(s);M;Thierry Claveyrolat;FRA
19;1991;177;Hilly stage;H;Dmitri Konychev;URS
20;1991;160;Hilly stage;H;Viatcheslav Ekimov;URS
21;1991;57;Individual time trial;ITT;Miguel Indurain;ESP
22;1991;178;Plain stage;F;Dmitri Konychev;URS
P;1990;6.3;Individual time trial;ITT;Thierry Marie;FRA
1;1990;138.5;Plain stage;F;Frans Maassen;NED
2;1990;44.5;Team time trial;TTT;Panasonic–Sportlife;
3;1990;233;Plain stage;F;Moreno Argentin;ITA
4;1990;203;Plain stage;F;Johan Museeuw;BEL
5;1990;301;Plain stage;F;Gerrit Solleveld;NED
6;1990;202.5;Plain stage;F;Jelle Nijdam;NED
7;1990;61.5;Individual time trial;ITT;Raúl Alcalá;MEX
8;1990;181.5;Plain stage;F;Olaf Ludwig;GDR
9;1990;196;Hilly stage;H;Massimo Ghirotto;ITA
10;1990;118.5;Stage with mountain(s);M;Thierry Claveyrolat;FRA
11;1990;182.5;Stage with mountain(s);M;Gianni Bugno;ITA
12;1990;33.5;Mountain time trial;MTT;Erik Breukink;NED
13;1990;149;Hilly stage;H;Eduardo Chozas;ESP
14;1990;205;Hilly stage;H;Marino Lejarreta;ESP
15;1990;170;Plain stage;F;Charly Mottet;FRA
16;1990;215;Stage with mountain(s);M;Miguel Indurain;ESP
17;1990;150;Stage with mountain(s);M;Dmitri Konychev;URS
18;1990;202;Plain stage;F;Gianni Bugno;ITA
19;1990;182.5;Plain stage;F;Guido Bontempi;ITA
20;1990;45.5;Individual time trial;ITT;Erik Breukink;NED
21;1990;182.5;Plain stage;F;Johan Museeuw;BEL
P;1989;7.8;Individual time trial;ITT;Erik Breukink;NED
1;1989;135.5;Plain stage;F;Acácio da Silva;POR
2;1989;46;Team time trial;TTT;Super U–Raleigh–Fiat;
3;1989;241;Plain stage;F;Raúl Alcalá;MEX
4;1989;255;Flat cobblestone stage;FC;Jelle Nijdam;NED
5;1989;73;Individual time trial;ITT;Greg LeMond;USA
6;1989;259;Plain stage;F;Joël Pelier;FRA
7;1989;258.5;Plain stage;F;Etienne De Wilde;BEL
8;1989;157;Plain stage;F;Martin Earley;IRE
9;1989;147;Stage with mountain(s);M;Miguel Induráin;ESP
10;1989;136;Stage with mountain(s);M;Robert Millar;GBR
11;1989;158.5;Plain stage;F;Mathieu Hermans;NED
12;1989;242;Plain stage;F;Valerio Tebaldi;ITA
13;1989;179;Plain stage;F;Vincent Barteau;FRA
14;1989;240;Hilly stage;H;Jelle Nijdam;NED
15;1989;39;Mountain time trial;MTT;Steven Rooks;NED
16;1989;175;Stage with mountain(s);M;Pascal Richard;SUI
17;1989;165;Stage with mountain(s);M;Gert-Jan Theunisse;NED
18;1989;91.5;Stage with mountain(s);M;Laurent Fignon;FRA
19;1989;125;Stage with mountain(s);M;Greg LeMond;USA
20;1989;130;Plain stage;F;Giovanni Fidanza;ITA
21;1989;24.5;Individual time trial;ITT;Greg LeMond;USA
P;1988;1;Individual time trial;ITT;Guido Bontempi;ITA
1;1988;92;Plain stage;F;Steve Bauer;CAN
2;1988;48;Team time trial;TTT;Panasonic–Isostar–Colnago–Agu;
3;1988;213;Plain stage;F;Jean-Paul van Poppel;NED
4;1988;158;Plain stage;F;Acácio da Silva;POR
5;1988;148;Plain stage;F;Jelle Nijdam;NED
6;1988;52;Individual time trial;ITT;Sean Yates;GBR
7;1988;225;Plain stage;F;Valerio Tebaldi;ITA
8;1988;219;Plain stage;F;Rolf Gölz;GER
9;1988;161;Hilly stage;H;Jérôme Simon;FRA
10;1988;149;Hilly stage;H;Jean-Paul van Poppel;NED
11;1988;232;Stage with mountain(s);M;Fabio Parra;COL
12;1988;227;Stage with mountain(s);M;Steven Rooks;NED
13;1988;38;Mountain time trial;MTT;Pedro Delgado;ESP
14;1988;163;Stage with mountain(s);M;Massimo Ghirotto;ITA
15;1988;187;Stage with mountain(s);M;Laudelino Cubino;ESP
16;1988;35;Plain stage;F;Adrie van der Poel;NED
17;1988;198;Plain stage;F;Jean-Paul van Poppel;NED
18;1988;94;Plain stage;F;Gianni Bugno;ITA
19;1988;188;Hilly stage;H;Johnny Weltz;DEN
20;1988;223;Plain stage;F;Thierry Marie;FRA
21;1988;46;Individual time trial;ITT;Juan Martinéz;ESP
22;1988;173;Plain stage;F;Jean-Paul van Poppel;NED
P;1987;6;Individual time trial;ITT;Jelle Nijdam;NED
1;1987;105;Plain stage;F;Nico Verhoeven;NED
2;1987;41;Team time trial;TTT;Carrera Jeans–Vagabond;
3;1987;219;Plain stage;F;Acácio da Silva;POR
4;1987;79;Plain stage;F;Herman Frison;BEL
5;1987;112;Plain stage;F;Marc Sergeant;BEL
6;1987;169;Plain stage;F;Christophe Lavainne;FRA
7;1987;211;Plain stage;F;Manuel Jorge Domínguez;ESP
8;1987;206;Plain stage;F;Jean-Paul van Poppel;NED
9;1987;260;Plain stage;F;Adrie van der Poel;NED
10;1987;87;Individual time trial;ITT;Stephen Roche;IRE
11;1987;206;Hilly stage;H;Martial Gayant;FRA
12;1987;228;Plain stage;F;Davis Phinney;USA
13;1987;219;Stage with mountain(s);M;Erik Breukink;NED
14;1987;166;Stage with mountain(s);M;Dag Otto Lauritzen;NOR
15;1987;164;Plain stage;F;Rolf Gölz;GER
16;1987;216;Hilly stage;H;Régis Clère;FRA
17;1987;239;Hilly stage;H;Jean-Paul van Poppel;NED
18;1987;37;Mountain time trial;MTT;Jean-François Bernard;FRA
19;1987;185;Stage with mountain(s);M;Pedro Delgado;ESP
20;1987;201;Stage with mountain(s);M;Federico Echave;ESP
21;1987;185;Stage with mountain(s);M;Laurent Fignon;FRA
22;1987;186;Stage with mountain(s);M;Eduardo Chozas;ESP
23;1987;225;Plain stage;F;Régis Clère;FRA
24;1987;38;Individual time trial;ITT;Jean-François Bernard;FRA
25;1987;192;Plain stage;F;Jeff Pierce;USA
P;1986;4.6;Individual time trial;ITT;Thierry Marie;FRA
1;1986;85;Plain stage;F;Pol Verschuere;BEL
2;1986;56;Team time trial;TTT;Système U;
3;1986;214;Plain stage;F;Davis Phinney;USA
4;1986;243;Plain stage;F;Pello Ruiz Cabestany;ESP
5;1986;124.5;Plain stage;F;Johan van der Velde;NED
6;1986;200;Plain stage;F;Guido Bontempi;ITA
7;1986;201;Plain stage;F;Ludo Peeters;BEL
8;1986;204;Plain stage;F;Eddy Planckaert;BEL
9;1986;61.5;Individual time trial;ITT;Bernard Hinault;FRA
10;1986;183;Plain stage;F;Jose-Angel Sarrapio;ESP
11;1986;258.3;Plain stage;F;Rudy Dhaenens;BEL
12;1986;217.5;Stage with mountain(s);M;Pedro Delgado;ESP
13;1986;186;Stage with mountain(s);M;Greg LeMond;USA
14;1986;154;Plain stage;F;Niki Rüttimann;SUI
15;1986;225.5;Plain stage;F;Frank Hoste;BEL
16;1986;246.5;Plain stage;F;Jean-François Bernard;FRA
17;1986;190;Stage with mountain(s);M;Eduardo Chozas;ESP
18;1986;162.5;Stage with mountain(s);M;Bernard Hinault;FRA
19;1986;179.5;Plain stage;F;Julián Gorospe;ESP
20;1986;58;Individual time trial;ITT;Bernard Hinault;FRA
21;1986;190;Plain stage;F;Erich Mächler;SUI
22;1986;194;Plain stage;F;Guido Bontempi;ITA
23;1986;255;Plain stage;F;Guido Bontempi;ITA
P;1985;6;Individual time trial;ITT;Bernard Hinault;FRA
1;1985;256;Plain stage;F;Rudy Matthijs;BEL
2;1985;242;Plain stage;F;Rudy Matthijs;BEL
3;1985;73;Team time trial;TTT;La Vie Claire;
4;1985;239;Plain stage;F;Gerrit Solleveld;NED
5;1985;224;Plain stage with cobblestones;FC;Henri Manders;NED
6;1985;222;Plain stage;F;Francis Castaing;FRA
7;1985;217;Plain stage;F;Ludwig Wijnants;BEL
8;1985;75;Individual time trial;ITT;Bernard Hinault;FRA
9;1985;174;Hilly stage;H;Maarten Ducrot;NED
10;1985;204;Hilly stage;H;Jørgen V. Pedersen;DEN
11;1985;195;Stage with mountain(s);M;Luis Herrera;COL
12;1985;269;Stage with mountain(s);M;Fabio Parra;COL
13;1985;32;Individual time trial;ITT;Eric Vanderaerden;BEL
14;1985;179;Hilly stage;H;Luis Herrera;COL
15;1985;238;Plain stage;F;Eduardo Chozas;ESP
16;1985;247;Plain stage;F;Frédéric Vichot;FRA
17;1985;209;Stage with mountain(s);M;Pedro Delgado;ESP
18a;1985;53;Stage with mountain(s);M;Stephen Roche;IRE
18b;1985;83;Stage with mountain(s);M;Régis Simon;FRA
19;1985;203;Plain stage;F;Eric Vanderaerden;BEL
20;1985;225;Plain stage;F;Johan Lammerts;NED
21;1985;46;Individual time trial;ITT;Greg LeMond;USA
22;1985;196;Plain stage;F;Rudy Matthijs;BEL
P;1984;5;Individual time trial;ITT;Bernard Hinault;FRA
1;1984;149;Plain stage;F;Frank Hoste;BEL
2;1984;249;Plain stage;F;Marc Madiot;FRA
3;1984;51;Team time trial;TTT;Renault–Elf;
4;1984;83;Plain stage;F;Ferdi Van Den Haute;BEL
5;1984;207;Plain stage;F;Paulo Ferreira;POR
6;1984;202;Plain stage;F;Frank Hoste;BEL
7;1984;67;Individual time trial;ITT;Laurent Fignon;FRA
8;1984;192;Plain stage;F;Pascal Jules;FRA
9;1984;338;Plain stage;F;Jan Raas;NED
10;1984;198;Plain stage;F;Eric Vanderaerden;BEL
11;1984;227;Stage with mountain(s);M;Robert Millar;GBR
12;1984;111;Plain stage;F;Pascal Poisson;FRA
13;1984;220;Plain stage;F;Pierre-Henri Menthéour;FRA
14;1984;228;Hilly stage;H;Fons De Wolf;BEL
15;1984;241;Hilly stage;H;Frédéric Vichot;FRA
16;1984;22;Individual time trial;ITT;Laurent Fignon;FRA
17;1984;151;Stage with mountain(s);M;Luis Herrera;COL
18;1984;185;Stage with mountain(s);M;Laurent Fignon;FRA
19;1984;186;Stage with mountain(s);M;Ángel Arroyo;ESP
20;1984;141;Stage with mountain(s);M;Laurent Fignon;FRA
21;1984;320;Hilly stage;H;Frank Hoste;BEL
22;1984;51;Individual time trial;ITT;Laurent Fignon;FRA
23;1984;197;Hilly stage;H;Eric Vanderaerden;BEL
P;1983;6;Individual time trial;ITT;Eric Vanderaerden;BEL
1;1983;163;Plain stage;F;Frits Pirard;NED
2;1983;100;Team time trial;TTT;COOP–Mercier–Mavic;
3;1983;152;Hilly stage;H;Rudy Matthijs;BEL
4;1983;300;Plain stage;F;Serge Demierre;SUI
5;1983;257;Plain stage;F;Dominique Gaigne;FRA
6;1983;58;Individual time trial;ITT;Bert Oosterbosch;NED
7;1983;216;Plain stage;F;Riccardo Magrini;ITA
8;1983;222;Plain stage;F;Bert Oosterbosch;NED
9;1983;207;Plain stage;F;Philippe Chevallier;FRA
10;1983;201;Stage with mountain(s);M;Robert Millar;GBR
11;1983;177;Plain stage;F;Régis Clère;FRA
12;1983;261;Plain stage;F;Kim Andersen;DEN
13;1983;210;Hilly stage;H;Henk Lubberding;NED
14;1983;149;Hilly stage;H;Pierre Le Bigaut;FRA
15;1983;16;Individual time trial;ITT;Ángel Arroyo;ESP
16;1983;144;Hilly stage;H;Michel Laurent;FRA
17;1983;223;Stage with mountain(s);M;Peter Winnen;NED
18;1983;247;Stage with mountain(s);M;Jacques Michaud;FRA
19;1983;15;Individual time trial;ITT;Lucien Van Impe;BEL
20;1983;291;Plain stage;F;Philippe Leleu;FRA
21;1983;50;Individual time trial;ITT;Laurent Fignon;FRA
22;1983;195;Plain stage;F;Gilbert Glaus;SUI
P;1982;7;Individual time trial;ITT;Bernard Hinault;FRA
1;1982;207;Hilly stage;H;Ludo Peeters;BEL
2;1982;250;Plain stage;F;Phil Anderson;AUS
3;1982;134;Plain stage;F;Daniel Willems;BEL
4;1982;219;Plain stage;F;Gerrie Knetemann;NED
6;1982;233;Plain stage;F;Jan Raas;NED
7;1982;235;Plain stage;F;Pol Verschuere;BEL
8;1982;201;Plain stage;F;Frank Hoste;BEL
9a;1982;69;Team time trial;TTT;Renault–Elf–Gitane;
9b;1982;138;Plain stage;F;Stefan Mutter;SUI
10;1982;147;Plain stage;F;Pierre-Raymond Villemiane;FRA
11;1982;57;Individual time trial;ITT;Gerrie Knetemann;NED
12;1982;249;Stage with mountain(s);M;Sean Kelly;IRE
13;1982;122;Stage with mountain(s);M;Beat Breu;SUI
14;1982;33;Individual time trial;ITT;Bernard Hinault;FRA
15;1982;208;Stage with mountain(s);M;Pascal Simon;FRA
16;1982;123;Stage with mountain(s);M;Beat Breu;SUI
17;1982;251;Stage with mountain(s);M;Peter Winnen;NED
18;1982;233;Plain stage;F;Adrie van Houwelingen;NED
19;1982;48;Individual time trial;ITT;Bernard Hinault;FRA
20;1982;161;Plain stage;F;Daniel Willems;BEL
21;1982;187;Plain stage;F;Bernard Hinault;FRA
P;1981;6;Individual time trial;ITT;Bernard Hinault;FRA
1a;1981;97;Hilly stage;H;Freddy Maertens;BEL
1b;1981;40;Team time trial;TTT;TI–Raleigh–Creda;
2;1981;254;Plain stage;F;Johan van der Velde;NED
3;1981;232;Plain stage;F;Freddy Maertens;BEL
4;1981;77;Team time trial;TTT;TI–Raleigh–Creda;
5;1981;117;Stage with mountain(s);M;Lucien Van Impe;BEL
6;1981;27;Individual time trial;ITT;Bernard Hinault;FRA
7;1981;227;Plain stage;F;Urs Freuler;SUI
8;1981;182;Plain stage;F;Ad Wijnands;NED
9;1981;197;Plain stage;F;René Martens;BEL
10;1981;264;Plain stage;F;Ad Wijnands;NED
11;1981;246;Plain stage;F;Daniel Willems;BEL
12a;1981;107;Plain stage;F;Freddy Maertens;BEL
12b;1981;138;Plain stage;F;Eddy Planckaert;BEL
13;1981;157;Plain stage;F;Freddy Maertens;BEL
14;1981;38;Individual time trial;ITT;Bernard Hinault;FRA
15;1981;231;Hilly stage;H;Sean Kelly;IRE
16;1981;200;Stage with mountain(s);M;Robert Alban;FRA
17;1981;230;Stage with mountain(s);M;Peter Winnen;NED
18;1981;134;Stage with mountain(s);M;Bernard Hinault;FRA
19;1981;118;Plain stage;F;Daniel Willems;BEL
20;1981;46;Individual time trial;ITT;Bernard Hinault;FRA
21;1981;207;Plain stage;F;Johan van der Velde;NED
22;1981;187;Plain stage;F;Freddy Maertens;BEL
P;1980;8;Individual time trial;ITT;Bernard Hinault;FRA
1a;1980;133;Plain stage;F;Jan Raas;NED
1b;1980;46;Team time trial;TTT;TI–Raleigh–Creda;
2;1980;276;Plain stage;F;Rudy Pevenage;BEL
3;1980;282;Plain stage;F;Henk Lubberding;NED
4;1980;35;Individual time trial;ITT;Bernard Hinault;FRA
5;1980;249;Plain stage;F;Bernard Hinault;FRA
6;1980;216;Plain stage;F;Jean-Louis Gauthier;FRA
7a;1980;65;Team time trial;TTT;TI–Raleigh–Creda;
7b;1980;92;Plain stage;F;Jan Raas;NED
8;1980;164;Plain stage;F;Bert Oosterbosch;NED
9;1980;205;Plain stage;F;Jan Raas;NED
10;1980;163;Plain stage;F;Cees Priem;NED
11;1980;52;Individual time trial;ITT;Joop Zoetemelk;NED
12;1980;194;Plain stage;F;Gerrie Knetemann;NED
13;1980;200;Stage with mountain(s);M;Raymond Martin;FRA
14;1980;189;Plain stage;F;Ludo Peeters;BEL
15;1980;160;Plain stage;F;Bernard Vallet;FRA
16;1980;209;Stage with mountain(s);M;Jos De Schoenmaecker;BEL
17;1980;242;Stage with mountain(s);M;Mariano Martínez;FRA
18;1980;199;Stage with mountain(s);M;Ludo Loos;BEL
19;1980;140;Hilly stage;H;Sean Kelly;IRE
20;1980;34;Individual time trial;ITT;Joop Zoetemelk;NED
21;1980;208;Plain stage;F;Sean Kelly;IRE
22;1980;186;Plain stage;F;Pol Verschuere;BEL
P;1979;5;Individual time trial;ITT;Gerrie Knetemann;NED
1;1979;225;Stage with mountain(s);M;René Bittinger;FRA
2;1979;24;Individual time trial;ITT;Bernard Hinault;FRA
3;1979;180;Stage with mountain(s);M;Bernard Hinault;FRA
4;1979;87;Team time trial;TTT;TI–Raleigh–McGregor;
5;1979;145;Plain stage;F;Jan Raas;NED
6;1979;239;Plain stage;F;Jos Jacobs;BEL
7;1979;158;Plain stage;F;Leo van Vliet;NED
8;1979;90;Team time trial;TTT;TI–Raleigh–McGregor;
9;1979;201;Plain stage;F;Ludo Delcroix;BEL
10;1979;124;Plain stage;F;Jo Maas;NED
11;1979;33;Individual time trial;ITT;Bernard Hinault;FRA
12;1979;193;Plain stage;F;Christian Seznec;FRA
13;1979;202;Hilly stage;H;Pierre-Raymond Villemiane;FRA
14;1979;248;Plain stage;F;Marc Demeyer;BEL
15;1979;54;Individual time trial;ITT;Bernard Hinault;FRA
16;1979;201;Stage with mountain(s);M;Lucien Van Impe;BEL
17;1979;167;Stage with mountain(s);M;Joaquim Agostinho;POR
18;1979;119;Stage with mountain(s);M;Joop Zoetemelk;NED
19;1979;162;Plain stage;F;Dietrich Thurau;GER
20;1979;240;Plain stage;F;Serge Parsani;ITA
21;1979;49;Individual time trial;ITT;Bernard Hinault;FRA
22;1979;189;Plain stage;F;Gerrie Knetemann;NED
23;1979;205;Plain stage;F;Bernard Hinault;FRA
24;1979;180;Plain stage;F;Bernard Hinault;FRA
P;1978;5;Individual time trial;ITT;Jan Raas;NED
1a;1978;135;Plain stage;F;Jan Raas;NED
1b;1978;100;Plain stage;F;Walter Planckaert;BEL
2;1978;199;Plain stage;F;Jacques Esclassan;FRA
3;1978;244;Plain stage;F;Klaus-Peter Thaler;GER
4;1978;153;Team time trial;TTT;TI–Raleigh–McGregor;
5;1978;244;Plain stage;F;Freddy Maertens;BEL
6;1978;162;Plain stage;F;Sean Kelly;IRE
7;1978;242;Plain stage;F;Freddy Maertens;BEL
8;1978;59;Individual time trial;ITT;Bernard Hinault;FRA
9;1978;233;Plain stage;F;Miguel Maria Lasa;ESP
10;1978;192;Hilly stage;H;Henk Lubberding;NED
11;1978;161;Stage with mountain(s);M;Mariano Martínez;FRA
12a;1978;158;Plain stage;F;Cancelled;
12b;1978;96;Plain stage;F;Jacques Esclassan;FRA
13;1978;221;Hilly stage;H;Paul Wellens;BEL
14;1978;52;Individual time trial;ITT;Joop Zoetemelk;NED
15;1978;196;Hilly stage;H;Bernard Hinault;FRA
16;1978;241;Stage with mountain(s);M;Hennie Kuiper;NED
17;1978;225;Stage with mountain(s);M;Christian Seznec;FRA
18;1978;137;Plain stage;F;Gerrie Knetemann;NED
19;1978;182;Plain stage;F;Marc Demeyer;BEL
20;1978;72;Individual time trial;ITT;Bernard Hinault;FRA
21;1978;207;Plain stage;F;Jan Raas;NED
22;1978;162;Plain stage;F;Gerrie Knetemann;NED
P;1977;5;Individual time trial;ITT;Dietrich Thurau;FRG
1;1977;237;Plain stage;F;Pierre-Raymond Villemiane;FRA
2;1977;253;Stage with mountain(s);M;Dietrich Thurau;FRG
3;1977;248;Stage with mountain(s);M;José Nazabal;ESP
4;1977;256;Stage with mountain(s);M;Régis Delépine;FRA
5a;1977;139;Plain stage;F;Jacques Esclassan;FRA
5b;1977;30;Individual time trial;ITT;Dietrich Thurau;FRG
6;1977;225;Plain stage;F;Jan Raas;NED
7a;1977;140;Plain stage;F;Patrick Sercu;BEL
7b;1977;4;Team time trial;TTT;Fiat France;
8;1977;247;Plain stage;F;Giacinto Santambrogio;ITA
9;1977;187;Stage with mountain(s);M;Klaus-Peter Thaler;FRG
10;1977;174;Plain stage;F;Fedor den Hertog;NED
11;1977;242;Plain stage;F;Jean-Pierre Danguillaume;FRA
12;1977;193;Stage with mountain(s);M;Patrick Sercu;BEL
13a;1977;46;Plain stage;F;Patrick Sercu;BEL
13b;1977;160;Plain stage;F;Jean-Pierre Danguillaume;FRA
14;1977;230;Stage with mountain(s);M;Bernard Quilfen;FRA
15a;1977;105;Stage with mountain(s);M;Paul Wellens;BEL
15b;1977;14;Individual time trial;ITT;Lucien Van Impe;BEL
16;1977;121;Stage with mountain(s);M;Dietrich Thurau;FRG
17;1977;185;Stage with mountain(s);M;Hennie Kuiper;NED
18;1977;199;Stage with mountain(s);M;no winner;
19;1977;172;Plain stage;F;Gerrie Knetemann;NED
20;1977;50;Individual time trial;ITT;Bernard Thévenet;FRA
21;1977;142;Plain stage;F;Gerrie Knetemann;NED
22a;1977;6;Individual time trial;ITT;Dietrich Thurau;FRG
22b;1977;91;Plain stage;F;Alain Meslet;FRA
P;1976;8;Individual time trial;ITT;Freddy Maertens;BEL
1;1976;173;Flat Stage;F;Freddy Maertens;BEL
2;1976;237;Flat Stage;F;Giovanni Battaglin;ITA
3;1976;37;Individual time trial;ITT;Freddy Maertens;BEL
4;1976;258;Flat Stage;F;Hennie Kuiper;NED
5a;1976;4;Team time trial;TTT;TI–Raleigh–Campagnolo;
5b;1976;144;Half Stage;Half Stage;Miguel-Maria Lasa;ESP
6;1976;209;Flat Stage;F;Aldo Parecchini;ITA
7;1976;206;Flat Stage;F;Freddy Maertens;BEL
8;1976;220;Flat Stage;F;Jacques Esclassan;FRA
9;1976;258;Mountain Stage;M;Joop Zoetemelk;NED
10;1976;166;Mountain Stage;M;Joop Zoetemelk;NED
11;1976;224;Mountain Stage;M;José-Luis Viejo;ESP
12;1976;205;Mountain Stage;M;Raymond Delisle;FRA
13;1976;188;Mountain Stage;M;Willy Teirlinck;BEL
14;1976;139;Mountain Stage;M;Lucien Van Impe;BEL
