Stage,Year,Distance,Type,Mark,Winner,Winner_Country,country_iso
1,1997,192,Flat stage,F,Mario Cipollini,ITA,IT
2,1997,262,Flat stage,F,Mario Cipollini,ITA,IT
3,1997,224,Flat stage,F,Erik Zabel,GER,DE
4,1997,223,Flat stage,F,Nicola Minali,ITA,IT
5,1997,261.5,Flat stage,F,Cédric Vasseur,FRA,FR
6,1997,217.5,Flat stage,F,Jeroen Blijlevens,NED,NL
7,1997,194,Flat stage,F,Erik Zabel,GER,DE
8,1997,161.5,Flat stage,F,Erik Zabel,GER,DE
9,1997,182,Mountain stage,M,Laurent Brochard,FRA,FR
10,1997,252.5,Mountain stage,M,Jan Ullrich,GER,DE
11,1997,192,Hilly stage,H,Laurent Desbiens,FRA,FR
12,1997,55,Individual time trial,ITT,Jan Ullrich,GER,DE
13,1997,203.5,Mountain stage,M,Marco Pantani,ITA,IT
14,1997,148,Mountain stage,M,Richard Virenque,FRA,FR
15,1997,208.5,Mountain stage,M,Marco Pantani,ITA,IT
16,1997,181,Hilly stage,H,Christophe Mengin,FRA,FR
17,1997,218.5,Flat stage,F,Neil Stephens,AUS,AU
18,1997,175.5,Hilly stage,H,Didier Rous,FRA,FR
19,1997,172,Flat stage,F,Mario Traversoni,ITA,IT
20,1997,63,Individual time trial,ITT,Abraham Olano,ESP,ES
21,1997,149.5,Flat stage,F,Nicola Minali,ITA,IT
P,1996,9.4,Individual time trial,ITT,Alex Zülle,SUI,CH
1,1996,209,Plain stage,F,Frédéric Moncassin,FRA,FR
2,1996,247.5,Plain stage,F,Mario Cipollini,ITA,IT
3,1996,195,Plain stage,F,Erik Zabel,GER,DE
4,1996,232,Plain stage,F,Cyril Saugrain,FRA,FR
5,1996,242,Plain stage,F,Jeroen Blijlevens,NED,NL
6,1996,207,Hilly stage,H,Michael Boogerd,NED,NL
7,1996,200,Stage with mountain(s),M,Luc Leblanc,FRA,FR
8,1996,30.5,Individual time trial,ITT,Evgueni Berzin,RUS,RU
9,1996,46,Stage with mountain(s),M,Bjarne Riis,DEN,DK
10,1996,208.5,Hilly stage,H,Erik Zabel,GER,DE
11,1996,202,Hilly stage,H,José Jaime Gonzalez,COL,CO
12,1996,143.5,Hilly stage,H,Pascal Richard,SUI,CH
13,1996,177,Hilly stage,H,Rolf Sørensen,DEN,DK
14,1996,186.5,Hilly stage,H,Djamolidine Abduzhaparov,UZB,UZ
15,1996,176,Plain stage,F,Massimo Podenzana,ITA,IT
16,1996,199,Stage with mountain(s),M,Bjarne Riis,DEN,DK
17,1996,262,Stage with mountain(s),M,Laurent Dufaux,SUI,CH
18,1996,154.5,Hilly stage,H,Bart Voskamp,NED,NL
19,1996,226.5,Plain stage,F,Frédéric Moncassin,FRA,FR
20,1996,63.5,Individual time trial,ITT,Jan Ullrich,GER,DE
21,1996,147.5,Plain stage,F,Fabio Baldato,ITA,IT
P,1995,7.3,Individual time trial,ITT,Jacky Durand,FRA,FR
1,1995,233.5,Plain stage,F,Fabio Baldato,ITA,IT
2,1995,235.5,Plain stage,F,Mario Cipollini,ITA,IT
3,1995,67,Team time trial,TTT,Gewiss–Ballan,,
4,1995,162,Plain stage,F,Mario Cipollini,ITA,IT
5,1995,261,Plain stage,F,Jeroen Blijlevens,NED,NL
6,1995,202,Plain stage,F,Erik Zabel,GER,DE
7,1995,203,Hilly stage,H,Johan Bruyneel,BEL,BE
8,1995,54,Individual time trial,ITT,Miguel Indurain,ESP,ES
9,1995,160,Stage with mountain(s),M,Alex Zülle,SUI,CH
10,1995,162.5,Stage with mountain(s),M,Marco Pantani,ITA,IT
11,1995,199,Hilly stage,H,Maximilian Sciandri,GBR,GB
12,1995,222.5,Hilly stage,H,Laurent Jalabert,FRA,FR
13,1995,245,Plain stage,F,Serhiy Utchakov,UKR,UA
14,1995,164,Stage with mountain(s),M,Marco Pantani,ITA,IT
15,1995,206,Stage with mountain(s),M,Richard Virenque,FRA,FR
16,1995,149,Stage with mountain(s),M,Cancelled,,
17,1995,246,Plain stage,F,Erik Zabel,GER,DE
18,1995,166.5,Plain stage,F,Lance Armstrong,USA,US
19,1995,46.5,Individual time trial,ITT,Miguel Indurain,ESP,ES
20,1995,155,Plain stage,F,Djamolidine Abdoujaparov,UZB,UZ
P,1994,7.2,Individual time trial,ITT,Chris Boardman,GBR,GB
1,1994,234,Plain stage,F,Djamolidine Abdoujaparov,UZB,UZ
2,1994,203.5,Plain stage,F,Jean-Paul van Poppel,NED,NL
3,1994,66.5,Team time trial,TTT,GB–MG Maglificio,,
4,1994,204.5,Plain stage,F,Francisco Cabello,ESP,ES
5,1994,187,Plain stage,F,Nicola Minali,ITA,IT
6,1994,270.5,Plain stage,F,Gianluca Bortolami,ITA,IT
7,1994,259.5,Plain stage,F,Ján Svorada,SVK,SK
8,1994,218.5,Plain stage,F,Bo Hamburger,DEN,DK
9,1994,64,Individual time trial,ITT,Miguel Indurain,ESP,ES
10,1994,160.5,Plain stage,F,Jacky Durand,FRA,FR
11,1994,263.5,Stage with mountain(s),M,Luc Leblanc,FRA,FR
12,1994,204.5,Stage with mountain(s),M,Richard Virenque,FRA,FR
13,1994,223,Plain stage,F,Bjarne Riis,DEN,DK
14,1994,202,Plain stage,F,Rolf Sørensen,DEN,DK
15,1994,231,Stage with mountain(s),M,Eros Poli,ITA,IT
16,1994,224.5,Stage with mountain(s),M,Roberto Conti,ITA,IT
17,1994,149,Stage with mountain(s),M,Nelson Rodriguez,COL,CO
18,1994,174.5,Stage with mountain(s),M,Piotr Ugrumov,LAT,LV
19,1994,47.5,Mountain time trial,MTT,Piotr Ugrumov,LAT,LV
20,1994,208.5,Hilly stage,H,Djamolidine Abdoujaparov,UZB,UZ
21,1994,175,Plain stage,F,Eddy Seigneur,FRA,FR
P,1993,6.8,Individual time trial,ITT,Miguel Indurain,ESP,ES
1,1993,215,Plain stage,F,Mario Cipollini,ITA,IT
2,1993,227.5,Plain stage,F,Wilfried Nelissen,BEL,BE
3,1993,189.5,Plain stage,F,Djamolidine Abdoujaparov,UZB,UZ
4,1993,81,Team time trial,TTT,GB–MG Maglificio,,
5,1993,225.5,Plain stage,F,Jesper Skibby,DEN,DK
6,1993,158,Plain stage,F,Johan Bruyneel,BEL,BE
7,1993,199,Plain stage,F,Bjarne Riis,DEN,DK
8,1993,184.5,Plain stage,F,Lance Armstrong,USA,US
9,1993,59,Individual time trial,ITT,Miguel Indurain,ESP,ES
10,1993,203,Stage with mountain(s),M,Toni Rominger,SUI,CH
11,1993,179,Stage with mountain(s),M,Toni Rominger,SUI,CH
12,1993,286.5,Plain stage,F,Fabio Roscioli,ITA,IT
13,1993,181.5,Plain stage,F,Olaf Ludwig,GER,DE
14,1993,223,Plain stage,F,Pascal Lino,FRA,FR
15,1993,231.5,Stage with mountain(s),M,Oliverio Rincón,COL,CO
16,1993,230,Stage with mountain(s),M,Zenon Jasku?a,POL,PL
17,1993,190,Stage with mountain(s),M,Claudio Chiappucci,ITA,IT
18,1993,199.5,Plain stage,F,Djamolidine Abdoujaparov,UZB,UZ
19,1993,48,Individual time trial,ITT,Toni Rominger,SUI,CH
20,1993,196.5,Plain stage,F,Djamolidine Abdoujaparov,UZB,UZ
P,1992,8,Individual time trial,ITT,Miguel Indurain,ESP,ES
1,1992,194.5,Hilly stage,H,Dominique Arnould,FRA,FR
2,1992,255,Hilly stage,H,Javier Murguialday,ESP,ES
3,1992,210,Plain stage,F,Rob Harmeling,NED,NL
4,1992,63.5,Team time trial,TTT,Panasonic–Sportlife,,
5,1992,196,Plain stage,F,Guido Bontempi,ITA,IT
6,1992,167,Plain stage,F,Laurent Jalabert,FRA,FR
7,1992,196.5,Plain stage,F,Gilles Delion,FRA,FR
8,1992,206.5,Plain stage,F,Jan Nevens,BEL,BE
9,1992,65,Individual time trial,ITT,Miguel Indurain,ESP,ES
10,1992,217,Plain stage,F,Jean-Paul van Poppel,NED,NL
11,1992,249.5,Hilly stage,H,Laurent Fignon,FRA,FR
12,1992,267.5,Hilly stage,H,Rolf Järmann,SUI,CH
13,1992,254.5,Stage with mountain(s),M,Claudio Chiappucci,ITA,IT
14,1992,186.5,Stage with mountain(s),M,Andrew Hampsten,USA,US
15,1992,198,Hilly stage,H,Franco Chioccioli,ITA,IT
16,1992,212,Hilly stage,H,Stephen Roche,IRE,IE
17,1992,189,Plain stage,F,Jean-Claude Colotti,FRA,FR
18,1992,212,Plain stage,F,Thierry Marie,FRA,FR
19,1992,64,Individual time trial,ITT,Miguel Indurain,ESP,ES
20,1992,222,Plain stage,F,Peter De Clercq,BEL,BE
21,1992,141,Plain stage,F,Olaf Ludwig,GER,DE
P,1991,5.4,Individual time trial,ITT,Thierry Marie,FRA,FR
1,1991,114.5,Plain stage,F,Djamolidine Abdoujaparov,URS,UZ
2,1991,36.5,Team time trial,TTT,Ariostea,,
3,1991,210.5,Plain stage,F,Etienne De Wilde,BEL,BE
4,1991,286,Plain stage,F,Djamolidine Abdoujaparov,URS,UZ
5,1991,149.5,Plain stage,F,Jelle Nijdam,NED,NL
6,1991,259,Plain stage,F,Thierry Marie,FRA,FR
7,1991,167,Plain stage,F,Jean-Paul van Poppel,NED,NL
8,1991,73,Individual time trial,ITT,Miguel Indurain,ESP,ES
9,1991,161,Plain stage,F,Mauro Ribeiro,BRA,BR
10,1991,207.5,Plain stage,F,Phil Anderson,AUS,AU
11,1991,246,Plain stage,F,Charly Mottet,FRA,FR
12,1991,192,Stage with mountain(s),M,Charly Mottet,FRA,FR
13,1991,232,Stage with mountain(s),M,Claudio Chiappucci,ITA,IT
14,1991,172.5,Plain stage,F,Bruno Cenghialta,ITA,IT
15,1991,235,Hilly stage,H,Moreno Argentin,ITA,IT
16,1991,215,Plain stage,F,Marco Lietti,ITA,IT
17,1991,125,Stage with mountain(s),M,Gianni Bugno,ITA,IT
18,1991,255,Stage with mountain(s),M,Thierry Claveyrolat,FRA,FR
19,1991,177,Hilly stage,H,Dmitri Konychev,URS,UZ
20,1991,160,Hilly stage,H,Viatcheslav Ekimov,URS,UZ
21,1991,57,Individual time trial,ITT,Miguel Indurain,ESP,ES
22,1991,178,Plain stage,F,Dmitri Konychev,URS,UZ
P,1990,6.3,Individual time trial,ITT,Thierry Marie,FRA,FR
1,1990,138.5,Plain stage,F,Frans Maassen,NED,NL
2,1990,44.5,Team time trial,TTT,Panasonic–Sportlife,,
3,1990,233,Plain stage,F,Moreno Argentin,ITA,IT
4,1990,203,Plain stage,F,Johan Museeuw,BEL,BE
5,1990,301,Plain stage,F,Gerrit Solleveld,NED,NL
6,1990,202.5,Plain stage,F,Jelle Nijdam,NED,NL
7,1990,61.5,Individual time trial,ITT,Raúl Alcalá,MEX,MX
8,1990,181.5,Plain stage,F,Olaf Ludwig,GDR,DE
9,1990,196,Hilly stage,H,Massimo Ghirotto,ITA,IT
10,1990,118.5,Stage with mountain(s),M,Thierry Claveyrolat,FRA,FR
11,1990,182.5,Stage with mountain(s),M,Gianni Bugno,ITA,IT
12,1990,33.5,Mountain time trial,MTT,Erik Breukink,NED,NL
13,1990,149,Hilly stage,H,Eduardo Chozas,ESP,ES
14,1990,205,Hilly stage,H,Marino Lejarreta,ESP,ES
15,1990,170,Plain stage,F,Charly Mottet,FRA,FR
16,1990,215,Stage with mountain(s),M,Miguel Indurain,ESP,ES
17,1990,150,Stage with mountain(s),M,Dmitri Konychev,URS,UZ
18,1990,202,Plain stage,F,Gianni Bugno,ITA,IT
19,1990,182.5,Plain stage,F,Guido Bontempi,ITA,IT
20,1990,45.5,Individual time trial,ITT,Erik Breukink,NED,NL
21,1990,182.5,Plain stage,F,Johan Museeuw,BEL,BE
P,1989,7.8,Individual time trial,ITT,Erik Breukink,NED,NL
1,1989,135.5,Plain stage,F,Acácio da Silva,POR,PT
2,1989,46,Team time trial,TTT,Super U–Raleigh–Fiat,,
3,1989,241,Plain stage,F,Raúl Alcalá,MEX,MX
4,1989,255,Flat cobblestone stage,FC,Jelle Nijdam,NED,NL
5,1989,73,Individual time trial,ITT,Greg LeMond,USA,US
6,1989,259,Plain stage,F,Joël Pelier,FRA,FR
7,1989,258.5,Plain stage,F,Etienne De Wilde,BEL,BE
8,1989,157,Plain stage,F,Martin Earley,IRE,IE
9,1989,147,Stage with mountain(s),M,Miguel Induráin,ESP,ES
10,1989,136,Stage with mountain(s),M,Robert Millar,GBR,GB
11,1989,158.5,Plain stage,F,Mathieu Hermans,NED,NL
12,1989,242,Plain stage,F,Valerio Tebaldi,ITA,IT
13,1989,179,Plain stage,F,Vincent Barteau,FRA,FR
14,1989,240,Hilly stage,H,Jelle Nijdam,NED,NL
15,1989,39,Mountain time trial,MTT,Steven Rooks,NED,NL
16,1989,175,Stage with mountain(s),M,Pascal Richard,SUI,CH
17,1989,165,Stage with mountain(s),M,Gert-Jan Theunisse,NED,NL
18,1989,91.5,Stage with mountain(s),M,Laurent Fignon,FRA,FR
19,1989,125,Stage with mountain(s),M,Greg LeMond,USA,US
20,1989,130,Plain stage,F,Giovanni Fidanza,ITA,IT
21,1989,24.5,Individual time trial,ITT,Greg LeMond,USA,US
P,1988,1,Individual time trial,ITT,Guido Bontempi,ITA,IT
1,1988,92,Plain stage,F,Steve Bauer,CAN,CA
2,1988,48,Team time trial,TTT,Panasonic–Isostar–Colnago–Agu,,
3,1988,213,Plain stage,F,Jean-Paul van Poppel,NED,NL
4,1988,158,Plain stage,F,Acácio da Silva,POR,PT
5,1988,148,Plain stage,F,Jelle Nijdam,NED,NL
6,1988,52,Individual time trial,ITT,Sean Yates,GBR,GB
7,1988,225,Plain stage,F,Valerio Tebaldi,ITA,IT
8,1988,219,Plain stage,F,Rolf Gölz,GER,DE
9,1988,161,Hilly stage,H,Jérôme Simon,FRA,FR
10,1988,149,Hilly stage,H,Jean-Paul van Poppel,NED,NL
11,1988,232,Stage with mountain(s),M,Fabio Parra,COL,CO
12,1988,227,Stage with mountain(s),M,Steven Rooks,NED,NL
13,1988,38,Mountain time trial,MTT,Pedro Delgado,ESP,ES
14,1988,163,Stage with mountain(s),M,Massimo Ghirotto,ITA,IT
15,1988,187,Stage with mountain(s),M,Laudelino Cubino,ESP,ES
16,1988,35,Plain stage,F,Adrie van der Poel,NED,NL
17,1988,198,Plain stage,F,Jean-Paul van Poppel,NED,NL
18,1988,94,Plain stage,F,Gianni Bugno,ITA,IT
19,1988,188,Hilly stage,H,Johnny Weltz,DEN,DK
20,1988,223,Plain stage,F,Thierry Marie,FRA,FR
21,1988,46,Individual time trial,ITT,Juan Martinéz,ESP,ES
22,1988,173,Plain stage,F,Jean-Paul van Poppel,NED,NL
P,1987,6,Individual time trial,ITT,Jelle Nijdam,NED,NL
1,1987,105,Plain stage,F,Nico Verhoeven,NED,NL
2,1987,41,Team time trial,TTT,Carrera Jeans–Vagabond,,
3,1987,219,Plain stage,F,Acácio da Silva,POR,PT
4,1987,79,Plain stage,F,Herman Frison,BEL,BE
5,1987,112,Plain stage,F,Marc Sergeant,BEL,BE
6,1987,169,Plain stage,F,Christophe Lavainne,FRA,FR
7,1987,211,Plain stage,F,Manuel Jorge Domínguez,ESP,ES
8,1987,206,Plain stage,F,Jean-Paul van Poppel,NED,NL
9,1987,260,Plain stage,F,Adrie van der Poel,NED,NL
10,1987,87,Individual time trial,ITT,Stephen Roche,IRE,IE
11,1987,206,Hilly stage,H,Martial Gayant,FRA,FR
12,1987,228,Plain stage,F,Davis Phinney,USA,US
13,1987,219,Stage with mountain(s),M,Erik Breukink,NED,NL
14,1987,166,Stage with mountain(s),M,Dag Otto Lauritzen,NOR,NO
15,1987,164,Plain stage,F,Rolf Gölz,GER,DE
16,1987,216,Hilly stage,H,Régis Clère,FRA,FR
17,1987,239,Hilly stage,H,Jean-Paul van Poppel,NED,NL
18,1987,37,Mountain time trial,MTT,Jean-François Bernard,FRA,FR
19,1987,185,Stage with mountain(s),M,Pedro Delgado,ESP,ES
20,1987,201,Stage with mountain(s),M,Federico Echave,ESP,ES
21,1987,185,Stage with mountain(s),M,Laurent Fignon,FRA,FR
22,1987,186,Stage with mountain(s),M,Eduardo Chozas,ESP,ES
23,1987,225,Plain stage,F,Régis Clère,FRA,FR
24,1987,38,Individual time trial,ITT,Jean-François Bernard,FRA,FR
25,1987,192,Plain stage,F,Jeff Pierce,USA,US
P,1986,4.6,Individual time trial,ITT,Thierry Marie,FRA,FR
1,1986,85,Plain stage,F,Pol Verschuere,BEL,BE
2,1986,56,Team time trial,TTT,Système U,,
3,1986,214,Plain stage,F,Davis Phinney,USA,US
4,1986,243,Plain stage,F,Pello Ruiz Cabestany,ESP,ES
5,1986,124.5,Plain stage,F,Johan van der Velde,NED,NL
6,1986,200,Plain stage,F,Guido Bontempi,ITA,IT
7,1986,201,Plain stage,F,Ludo Peeters,BEL,BE
8,1986,204,Plain stage,F,Eddy Planckaert,BEL,BE
9,1986,61.5,Individual time trial,ITT,Bernard Hinault,FRA,FR
10,1986,183,Plain stage,F,Jose-Angel Sarrapio,ESP,ES
11,1986,258.3,Plain stage,F,Rudy Dhaenens,BEL,BE
12,1986,217.5,Stage with mountain(s),M,Pedro Delgado,ESP,ES
13,1986,186,Stage with mountain(s),M,Greg LeMond,USA,US
14,1986,154,Plain stage,F,Niki Rüttimann,SUI,CH
15,1986,225.5,Plain stage,F,Frank Hoste,BEL,BE
16,1986,246.5,Plain stage,F,Jean-François Bernard,FRA,FR
17,1986,190,Stage with mountain(s),M,Eduardo Chozas,ESP,ES
18,1986,162.5,Stage with mountain(s),M,Bernard Hinault,FRA,FR
19,1986,179.5,Plain stage,F,Julián Gorospe,ESP,ES
20,1986,58,Individual time trial,ITT,Bernard Hinault,FRA,FR
21,1986,190,Plain stage,F,Erich Mächler,SUI,CH
22,1986,194,Plain stage,F,Guido Bontempi,ITA,IT
23,1986,255,Plain stage,F,Guido Bontempi,ITA,IT
P,1985,6,Individual time trial,ITT,Bernard Hinault,FRA,FR
1,1985,256,Plain stage,F,Rudy Matthijs,BEL,BE
2,1985,242,Plain stage,F,Rudy Matthijs,BEL,BE
3,1985,73,Team time trial,TTT,La Vie Claire,,
4,1985,239,Plain stage,F,Gerrit Solleveld,NED,NL
5,1985,224,Plain stage with cobblestones,FC,Henri Manders,NED,NL
6,1985,222,Plain stage,F,Francis Castaing,FRA,FR
7,1985,217,Plain stage,F,Ludwig Wijnants,BEL,BE
8,1985,75,Individual time trial,ITT,Bernard Hinault,FRA,FR
9,1985,174,Hilly stage,H,Maarten Ducrot,NED,NL
10,1985,204,Hilly stage,H,Jørgen V. Pedersen,DEN,DK
11,1985,195,Stage with mountain(s),M,Luis Herrera,COL,CO
12,1985,269,Stage with mountain(s),M,Fabio Parra,COL,CO
13,1985,32,Individual time trial,ITT,Eric Vanderaerden,BEL,BE
14,1985,179,Hilly stage,H,Luis Herrera,COL,CO
15,1985,238,Plain stage,F,Eduardo Chozas,ESP,ES
16,1985,247,Plain stage,F,Frédéric Vichot,FRA,FR
17,1985,209,Stage with mountain(s),M,Pedro Delgado,ESP,ES
18a,1985,53,Stage with mountain(s),M,Stephen Roche,IRE,IE
18b,1985,83,Stage with mountain(s),M,Régis Simon,FRA,FR
19,1985,203,Plain stage,F,Eric Vanderaerden,BEL,BE
20,1985,225,Plain stage,F,Johan Lammerts,NED,NL
21,1985,46,Individual time trial,ITT,Greg LeMond,USA,US
22,1985,196,Plain stage,F,Rudy Matthijs,BEL,BE
P,1984,5,Individual time trial,ITT,Bernard Hinault,FRA,FR
1,1984,149,Plain stage,F,Frank Hoste,BEL,BE
2,1984,249,Plain stage,F,Marc Madiot,FRA,FR
3,1984,51,Team time trial,TTT,Renault–Elf,,
4,1984,83,Plain stage,F,Ferdi Van Den Haute,BEL,BE
5,1984,207,Plain stage,F,Paulo Ferreira,POR,PT
6,1984,202,Plain stage,F,Frank Hoste,BEL,BE
7,1984,67,Individual time trial,ITT,Laurent Fignon,FRA,FR
8,1984,192,Plain stage,F,Pascal Jules,FRA,FR
9,1984,338,Plain stage,F,Jan Raas,NED,NL
10,1984,198,Plain stage,F,Eric Vanderaerden,BEL,BE
11,1984,227,Stage with mountain(s),M,Robert Millar,GBR,GB
12,1984,111,Plain stage,F,Pascal Poisson,FRA,FR
13,1984,220,Plain stage,F,Pierre-Henri Menthéour,FRA,FR
14,1984,228,Hilly stage,H,Fons De Wolf,BEL,BE
15,1984,241,Hilly stage,H,Frédéric Vichot,FRA,FR
16,1984,22,Individual time trial,ITT,Laurent Fignon,FRA,FR
17,1984,151,Stage with mountain(s),M,Luis Herrera,COL,CO
18,1984,185,Stage with mountain(s),M,Laurent Fignon,FRA,FR
19,1984,186,Stage with mountain(s),M,Ángel Arroyo,ESP,ES
20,1984,141,Stage with mountain(s),M,Laurent Fignon,FRA,FR
21,1984,320,Hilly stage,H,Frank Hoste,BEL,BE
22,1984,51,Individual time trial,ITT,Laurent Fignon,FRA,FR
23,1984,197,Hilly stage,H,Eric Vanderaerden,BEL,BE
P,1983,6,Individual time trial,ITT,Eric Vanderaerden,BEL,BE
1,1983,163,Plain stage,F,Frits Pirard,NED,NL
2,1983,100,Team time trial,TTT,COOP–Mercier–Mavic,,
3,1983,152,Hilly stage,H,Rudy Matthijs,BEL,BE
4,1983,300,Plain stage,F,Serge Demierre,SUI,CH
5,1983,257,Plain stage,F,Dominique Gaigne,FRA,FR
6,1983,58,Individual time trial,ITT,Bert Oosterbosch,NED,NL
7,1983,216,Plain stage,F,Riccardo Magrini,ITA,IT
8,1983,222,Plain stage,F,Bert Oosterbosch,NED,NL
9,1983,207,Plain stage,F,Philippe Chevallier,FRA,FR
10,1983,201,Stage with mountain(s),M,Robert Millar,GBR,GB
11,1983,177,Plain stage,F,Régis Clère,FRA,FR
12,1983,261,Plain stage,F,Kim Andersen,DEN,DK
13,1983,210,Hilly stage,H,Henk Lubberding,NED,NL
14,1983,149,Hilly stage,H,Pierre Le Bigaut,FRA,FR
15,1983,16,Individual time trial,ITT,Ángel Arroyo,ESP,ES
16,1983,144,Hilly stage,H,Michel Laurent,FRA,FR
17,1983,223,Stage with mountain(s),M,Peter Winnen,NED,NL
18,1983,247,Stage with mountain(s),M,Jacques Michaud,FRA,FR
19,1983,15,Individual time trial,ITT,Lucien Van Impe,BEL,BE
20,1983,291,Plain stage,F,Philippe Leleu,FRA,FR
21,1983,50,Individual time trial,ITT,Laurent Fignon,FRA,FR
22,1983,195,Plain stage,F,Gilbert Glaus,SUI,CH
P,1982,7,Individual time trial,ITT,Bernard Hinault,FRA,FR
1,1982,207,Hilly stage,H,Ludo Peeters,BEL,BE
2,1982,250,Plain stage,F,Phil Anderson,AUS,AU
3,1982,134,Plain stage,F,Daniel Willems,BEL,BE
4,1982,219,Plain stage,F,Gerrie Knetemann,NED,NL
6,1982,233,Plain stage,F,Jan Raas,NED,NL
7,1982,235,Plain stage,F,Pol Verschuere,BEL,BE
8,1982,201,Plain stage,F,Frank Hoste,BEL,BE
9a,1982,69,Team time trial,TTT,Renault–Elf–Gitane,,
9b,1982,138,Plain stage,F,Stefan Mutter,SUI,CH
10,1982,147,Plain stage,F,Pierre-Raymond Villemiane,FRA,FR
11,1982,57,Individual time trial,ITT,Gerrie Knetemann,NED,NL
12,1982,249,Stage with mountain(s),M,Sean Kelly,IRE,IE
13,1982,122,Stage with mountain(s),M,Beat Breu,SUI,CH
14,1982,33,Individual time trial,ITT,Bernard Hinault,FRA,FR
15,1982,208,Stage with mountain(s),M,Pascal Simon,FRA,FR
16,1982,123,Stage with mountain(s),M,Beat Breu,SUI,CH
17,1982,251,Stage with mountain(s),M,Peter Winnen,NED,NL
18,1982,233,Plain stage,F,Adrie van Houwelingen,NED,NL
19,1982,48,Individual time trial,ITT,Bernard Hinault,FRA,FR
20,1982,161,Plain stage,F,Daniel Willems,BEL,BE
21,1982,187,Plain stage,F,Bernard Hinault,FRA,FR
P,1981,6,Individual time trial,ITT,Bernard Hinault,FRA,FR
1a,1981,97,Hilly stage,H,Freddy Maertens,BEL,BE
1b,1981,40,Team time trial,TTT,TI–Raleigh–Creda,,
2,1981,254,Plain stage,F,Johan van der Velde,NED,NL
3,1981,232,Plain stage,F,Freddy Maertens,BEL,BE
4,1981,77,Team time trial,TTT,TI–Raleigh–Creda,,
5,1981,117,Stage with mountain(s),M,Lucien Van Impe,BEL,BE
6,1981,27,Individual time trial,ITT,Bernard Hinault,FRA,FR
7,1981,227,Plain stage,F,Urs Freuler,SUI,CH
8,1981,182,Plain stage,F,Ad Wijnands,NED,NL
9,1981,197,Plain stage,F,René Martens,BEL,BE
10,1981,264,Plain stage,F,Ad Wijnands,NED,NL
11,1981,246,Plain stage,F,Daniel Willems,BEL,BE
12a,1981,107,Plain stage,F,Freddy Maertens,BEL,BE
12b,1981,138,Plain stage,F,Eddy Planckaert,BEL,BE
13,1981,157,Plain stage,F,Freddy Maertens,BEL,BE
14,1981,38,Individual time trial,ITT,Bernard Hinault,FRA,FR
15,1981,231,Hilly stage,H,Sean Kelly,IRE,IE
16,1981,200,Stage with mountain(s),M,Robert Alban,FRA,FR
17,1981,230,Stage with mountain(s),M,Peter Winnen,NED,NL
18,1981,134,Stage with mountain(s),M,Bernard Hinault,FRA,FR
19,1981,118,Plain stage,F,Daniel Willems,BEL,BE
20,1981,46,Individual time trial,ITT,Bernard Hinault,FRA,FR
21,1981,207,Plain stage,F,Johan van der Velde,NED,NL
22,1981,187,Plain stage,F,Freddy Maertens,BEL,BE
P,1980,8,Individual time trial,ITT,Bernard Hinault,FRA,FR
1a,1980,133,Plain stage,F,Jan Raas,NED,NL
1b,1980,46,Team time trial,TTT,TI–Raleigh–Creda,,
2,1980,276,Plain stage,F,Rudy Pevenage,BEL,BE
3,1980,282,Plain stage,F,Henk Lubberding,NED,NL
4,1980,35,Individual time trial,ITT,Bernard Hinault,FRA,FR
5,1980,249,Plain stage,F,Bernard Hinault,FRA,FR
6,1980,216,Plain stage,F,Jean-Louis Gauthier,FRA,FR
7a,1980,65,Team time trial,TTT,TI–Raleigh–Creda,,
7b,1980,92,Plain stage,F,Jan Raas,NED,NL
8,1980,164,Plain stage,F,Bert Oosterbosch,NED,NL
9,1980,205,Plain stage,F,Jan Raas,NED,NL
10,1980,163,Plain stage,F,Cees Priem,NED,NL
11,1980,52,Individual time trial,ITT,Joop Zoetemelk,NED,NL
12,1980,194,Plain stage,F,Gerrie Knetemann,NED,NL
13,1980,200,Stage with mountain(s),M,Raymond Martin,FRA,FR
14,1980,189,Plain stage,F,Ludo Peeters,BEL,BE
15,1980,160,Plain stage,F,Bernard Vallet,FRA,FR
16,1980,209,Stage with mountain(s),M,Jos De Schoenmaecker,BEL,BE
17,1980,242,Stage with mountain(s),M,Mariano Martínez,FRA,FR
18,1980,199,Stage with mountain(s),M,Ludo Loos,BEL,BE
19,1980,140,Hilly stage,H,Sean Kelly,IRE,IE
20,1980,34,Individual time trial,ITT,Joop Zoetemelk,NED,NL
21,1980,208,Plain stage,F,Sean Kelly,IRE,IE
22,1980,186,Plain stage,F,Pol Verschuere,BEL,BE
P,1979,5,Individual time trial,ITT,Gerrie Knetemann,NED,NL
1,1979,225,Stage with mountain(s),M,René Bittinger,FRA,FR
2,1979,24,Individual time trial,ITT,Bernard Hinault,FRA,FR
3,1979,180,Stage with mountain(s),M,Bernard Hinault,FRA,FR
4,1979,87,Team time trial,TTT,TI–Raleigh–McGregor,,
5,1979,145,Plain stage,F,Jan Raas,NED,NL
6,1979,239,Plain stage,F,Jos Jacobs,BEL,BE
7,1979,158,Plain stage,F,Leo van Vliet,NED,NL
8,1979,90,Team time trial,TTT,TI–Raleigh–McGregor,,
9,1979,201,Plain stage,F,Ludo Delcroix,BEL,BE
10,1979,124,Plain stage,F,Jo Maas,NED,NL
11,1979,33,Individual time trial,ITT,Bernard Hinault,FRA,FR
